the_geom,segmentid,bikeid,prevbikeid,status,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit,instdate,grnwy,gwsystem,spur,gwyjuris,ret_date,gwsys2,tf2facilit,ft2facilit,category
"{'type': MultiLineString, 'coordinates': [[[-73.96658008201288, 40.58559153711422], [-73.96669038098884, 40.585123704808936]]]}",0230785,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97108160285708, 40.626553708284945], [-73.97098463789594, 40.62604686494705]]]}",0230641,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97214897745388, 40.63219765516531], [-73.97200808062628, 40.63141865278057]]]}",0230614,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96599674087342, 40.588113039713065], [-73.96615981882852, 40.58741086061175]]]}",0230764,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96565030570947, 40.58962252351109], [-73.96582014496293, 40.58886806623001]]]}",0230752,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96741369125894, 40.607243004642115], [-73.96709858396846, 40.60562606136743]]]}",0230708,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9665126613323, 40.58587565878512], [-73.96658008201288, 40.58559153711422]]]}",0230782,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96694484347557, 40.583907930862736], [-73.96700014254397, 40.58381568450125], [-73.96705095524307, 40.58360889200725]]]}",0230813,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96512191714504, 40.59184088326454], [-73.96528827839296, 40.59108661047663]]]}",0230743,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96829003007196, 40.611936266981026], [-73.96780676325172, 40.609403155124]]]}",0230696,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97090852784041, 40.625653802975], [-73.9706183282386, 40.62415503059355]]]}",0295824,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
